chromosome,accuracy,precision,recall,f1_score,params
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.6695,0.7302190270700283,0.6617724246261407,0.6542106317103744,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.8949,0.8985263134942126,0.8948475590396961,0.8942907710238279,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.8988,0.8971614209198187,0.8970680323877206,0.8967835141019787,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9577,0.9575334398893391,0.957527785191685,0.9573754330120211,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.6538,0.7423768230818968,0.6431480319226289,0.6178248946459555,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.8937,0.8966472949229711,0.8928962416145042,0.8927936115434942,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9039,0.9024835681103257,0.9025523692959505,0.9021553497786489,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9441,0.9444849089816781,0.9432978322914469,0.9433280818905259,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.6994,0.7506873512283038,0.6913857681881019,0.6693611871674987,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.548,0.4790033552288345,0.5419082681086519,0.45598344795359724,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
