chromosome,accuracy,precision,recall,f1_score,params
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3318,0.3407953020397421,0.3338224990776881,0.31807153440421077,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2842,0.2800514794469015,0.28901519234881756,0.25829562651556703,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.2376,0.25566629827932774,0.24187031858002966,0.21159920925752163,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3446,0.35000946778482955,0.34715578158335,0.3435566739097813,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3286,0.3220953677213911,0.3307880409706361,0.31391393480501606,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2716,0.2861976896436448,0.27720202478169126,0.24232930735944871,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.2372,0.2544461668010376,0.2386065399229354,0.21817282640220942,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3384,0.3437879284118834,0.3408624855050095,0.32866479216916517,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3356,0.3288035549329097,0.33683852784877943,0.3272048771340345,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2754,0.27750621860499286,0.2806627621116088,0.25217464265680917,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.2334,0.25171416433853006,0.23810728119769003,0.21373433133845401,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.347,0.3456204165608928,0.34860719211921853,0.34045890332902357,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3266,0.33060966952476606,0.32998553581587503,0.31987505260156485,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2826,0.28054435434577857,0.28770041422413206,0.2630093654644562,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
